
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
FC:DD:55:48:68:A1, 2018-10-31 17:37:23, 2018-10-31 17:41:57, 11,  54, WPA2, CCMP TKIP,PSK, -89,        6,        0,   0.  0.  0.  0,  10, kaudanaku1, 
0C:98:38:04:43:41, 2018-10-31 17:41:41, 2018-10-31 17:41:48,  6,  54, WPA2, CCMP,PSK, -80,       11,        0,   0.  0.  0.  0,   8, AthaLine, 
20:5E:F7:57:5A:24, 2018-10-31 17:40:57, 2018-10-31 17:41:18,  6,  54, WPA2, CCMP,PSK, -84,       12,        0,   0.  0.  0.  0,   9, AndroidAP, 
FC:DD:55:65:A9:A3, 2018-10-31 17:40:42, 2018-10-31 17:41:04,  7,  54, WPA2, CCMP TKIP,PSK, -88,       18,        0,   0.  0.  0.  0,  14, #BOLT!LTE+A9A3, 
74:23:44:EB:96:37, 2018-10-31 17:40:26, 2018-10-31 17:40:41,  6,  54, WPA2, CCMP,PSK, -88,       20,        0,   0.  0.  0.  0,   5, Redmi, 
E4:7D:EB:0A:CE:1D, 2018-10-31 17:39:41, 2018-10-31 17:40:09,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        7,        0,   0.  0.  0.  0,  14, #BOLT!LTE+CE1D, 
FC:DD:55:4E:EF:BA, 2018-10-31 17:39:31, 2018-10-31 17:39:46,  8,  54, WPA2, CCMP TKIP,PSK, -83,        2,        0,   0.  0.  0.  0,  17, Andromax-M3Y-EFBA, 
00:25:00:FF:94:73, 2018-10-31 16:59:46, 2018-10-31 17:39:34,  6,  -1, OPN, ,   ,  -1,        0,       15,   0.  0.  0.  0,   0, , 
5C:F2:86:28:FA:C0, 2018-10-31 17:39:23, 2018-10-31 17:39:34,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        6,        0,   0.  0.  0.  0,  10, Bendebesah, 
00:12:5F:0B:9B:5E, 2018-10-31 17:39:18, 2018-10-31 17:39:18, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
34:E9:11:31:5B:55, 2018-10-31 17:38:41, 2018-10-31 17:39:19,  6,  54, WPA2, CCMP,PSK, -88,        9,        1,   0.  0.  0.  0,  13, "Wi-Fi Gratis ", 
26:18:1D:D4:F7:5F, 2018-10-31 17:38:41, 2018-10-31 17:39:17, 11,  54, WPA2, CCMP,PSK, -89,        6,        0,   0.  0.  0.  0,   9, AndroidAP, 
04:92:26:2C:3D:FA, 2018-10-31 17:38:35, 2018-10-31 17:38:49,  1,  54, WPA2, CCMP,PSK, -80,        3,        0,   0.  0.  0.  0,  12, My ASUS_7179, 
20:5E:F7:EC:32:28, 2018-10-31 17:37:52, 2018-10-31 17:38:11,  1,  54, WPA2, CCMP,PSK, -78,       11,        0,   0.  0.  0.  0,   5, J7PRO, 
FC:DD:55:4C:88:B3, 2018-10-31 17:37:04, 2018-10-31 17:37:32,  5,  54, WPA2, CCMP TKIP,PSK, -67,        1,        0,   0.  0.  0.  0,   8, ilatifah, 
0C:98:38:02:45:0F, 2018-10-31 17:37:19, 2018-10-31 17:37:21,  6,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,  14, cariwifigratis, 
30:CB:F8:F1:11:C7, 2018-10-31 17:37:06, 2018-10-31 17:37:08,  6,  54, WPA2, CCMP,PSK, -88,        5,        0,   0.  0.  0.  0,   9, AndroidAP, 
3C:B6:B7:12:73:87, 2018-10-31 17:37:04, 2018-10-31 17:37:08,  6,  54, WPA2, CCMP,PSK, -89,        4,        0,   0.  0.  0.  0,   8, vivo Y51, 
AC:C1:EE:22:5A:38, 2018-10-31 17:36:21, 2018-10-31 17:36:42,  6,  54, WPA2, CCMP,PSK, -84,       10,        0,   0.  0.  0.  0,  14, Astaghfirullah, 
C8:D7:79:8E:8F:BA, 2018-10-31 17:36:09, 2018-10-31 17:36:12,  6,  54, WPA2, CCMP,PSK, -81,        2,        1,   0.  0.  0.  0,  15, Andromax A16C3H, 
32:07:4D:89:0B:7A, 2018-10-31 17:36:12, 2018-10-31 17:36:12, 11,  54, WPA2, CCMP,PSK, -88,        2,        0,   0.  0.  0.  0,  11, S8+'s Santi, 
88:28:B3:F2:16:BA, 2018-10-31 17:35:54, 2018-10-31 17:36:17,  7,  54, WPA2, CCMP,PSK, -91,       14,        0,   0.  0.  0.  0,  11, HUAWEI-16BA, 
F6:60:E2:28:BC:B6, 2018-10-31 17:35:39, 2018-10-31 17:36:01,  6,  54, WPA2, CCMP,PSK, -90,        3,        0,   0.  0.  0.  0,   5, Sawit, 
90:C7:D8:BA:DA:77, 2018-10-31 17:34:38, 2018-10-31 17:35:07,  9,  54, WPA2, CCMP TKIP,PSK, -85,        5,        0,   0.  0.  0.  0,  17, Andromax-M3Z-DA77, 
FC:DD:55:62:5E:7E, 2018-10-31 17:34:46, 2018-10-31 17:34:46,  3,  54, WPA2, CCMP TKIP,PSK, -90,        1,        0,   0.  0.  0.  0,   5, *123#, 
5C:F2:86:29:0A:B5, 2018-10-31 17:34:14, 2018-10-31 17:34:18,  8,  -1, , ,   , -89,        0,        0,   0.  0.  0.  0,   0, , 
06:D6:AA:73:98:46, 2018-10-31 17:34:01, 2018-10-31 17:34:09,  6,  54, WPA2, CCMP,PSK, -80,        5,        0,   0.  0.  0.  0,  13, AndroidAP9846, 
B0:E1:7E:B3:C8:F8, 2018-10-31 17:33:54, 2018-10-31 17:33:54, 11,  54, WPA2, CCMP,PSK, -86,        0,        0,   0.  0.  0.  0,  15, HUAWEI Y7 Prime, 
0C:98:38:1C:B7:01, 2018-10-31 17:33:27, 2018-10-31 17:33:52, 11,  54, WPA2 OPN, CCMP,PSK, -88,        8,       22,   0.  0.  0.  0,   9, AndroidAP, 
64:CC:2E:D0:BD:B5, 2018-10-31 17:32:58, 2018-10-31 17:33:13,  6,  54, WPA2, CCMP,PSK, -84,       16,        0,   0.  0.  0.  0,  26, 6oFSYGeMymQAAwFC1616019946, 
3E:B6:B7:3A:07:9D, 2018-10-31 17:32:51, 2018-10-31 17:33:17,  1,  54, WPA2, CCMP,PSK, -88,       13,        0,   0.  0.  0.  0,   9, vivo 1601, 
38:A2:8C:30:FD:E0, 2018-10-31 17:32:43, 2018-10-31 17:33:13,  6,  54, OPN, ,   , -88,       27,        0,   0.  0.  0.  0,  14, Toyota RSE 552, 
90:C7:D8:A9:20:5E, 2018-10-31 17:31:13, 2018-10-31 17:32:36,  5,  54, WPA2, CCMP TKIP,PSK, -83,       14,        0,   0.  0.  0.  0,  17, Andromax-M3Z-205E, 
0C:98:38:AF:EA:AF, 2018-10-31 17:31:47, 2018-10-31 17:32:26,  6,  54, WPA2, CCMP,PSK, -85,       18,        0,   0.  0.  0.  0,  11, galaxyskies, 
FC:DD:55:48:90:95, 2018-10-31 17:32:03, 2018-10-31 17:32:22,  7,  54, WPA2, CCMP TKIP,PSK, -88,        4,        0,   0.  0.  0.  0,  17, Andromax-M3Y-9095, 
9B:2E:05:00:70:B4, 2018-10-31 17:31:33, 2018-10-31 17:31:33, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E4:7D:EB:04:9C:8B, 2018-10-31 17:29:51, 2018-10-31 17:30:31,  8,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        7,        0,   0.  0.  0.  0,   7, 5679306, 
CC:D2:9B:35:01:02, 2018-10-31 17:30:33, 2018-10-31 17:30:33,  6,  54, OPN, ,   , -93,        1,        0,   0.  0.  0.  0,  12, WIFI-MIT 063, 
E8:F2:E2:2D:58:67, 2018-10-31 17:29:54, 2018-10-31 17:29:57,  3,  54, WPA2, CCMP TKIP,PSK, -80,        2,        0,   0.  0.  0.  0,  26, annyeonghaseyo jeongsin ye, 
22:5E:F7:DB:82:5C, 2018-10-31 17:23:31, 2018-10-31 17:29:56,  6,  54, WPA2, CCMP,PSK, -87,       47,        1,   0.  0.  0.  0,   5, memek, 
B0:E2:35:D7:65:1B, 2018-10-31 17:29:03, 2018-10-31 17:29:41,  6,  54, WPA2, CCMP,PSK, -91,       15,        0,   0.  0.  0.  0,   7, "okidwi ", 
90:C7:D8:A9:10:BD, 2018-10-31 17:29:17, 2018-10-31 17:29:17,  8,  54, WPA2, CCMP TKIP,PSK, -85,        2,        0,   0.  0.  0.  0,  17, Andromax-M3Z-10BD, 
70:4D:7B:57:B5:76, 2018-10-31 17:27:56, 2018-10-31 17:28:49,  1,  54, WPA2, CCMP,PSK, -85,        7,        0,   0.  0.  0.  0,   7, My ASUS, 
FC:DD:55:5A:86:D0, 2018-10-31 17:27:39, 2018-10-31 17:27:51,  8,  54, WPA2, CCMP TKIP,PSK, -84,        8,        0,   0.  0.  0.  0,   9, XLGO-86D0, 
20:5E:F7:D6:E2:32, 2018-10-31 17:27:26, 2018-10-31 17:27:49,  6,  54, WPA2, CCMP,PSK, -88,        7,        1,   0.  0.  0.  0,   9, AndroidAP, 
E4:7D:EB:07:5E:C3, 2018-10-31 17:27:17, 2018-10-31 17:27:26,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -90,        3,        0,   0.  0.  0.  0,  12, BOLT! MILANA, 
97:FA:05:00:B0:45, 2018-10-31 17:27:01, 2018-10-31 17:27:01, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8C:BE:BE:16:73:3B, 2018-10-31 17:26:37, 2018-10-31 17:27:01, 11,  54, WPA2, CCMP,PSK, -88,        4,        1,   0.  0.  0.  0,  21, AAAAAAAAAAAAAwEERedmi, 
E4:12:1D:16:5E:F1, 2018-10-31 17:26:08, 2018-10-31 17:26:36,  1,  54, WPA2, CCMP,PSK, -86,        9,        1,   0.  0.  0.  0,   5, setri, 
1E:77:F6:EF:06:A3, 2018-10-31 17:26:31, 2018-10-31 17:26:37, 11,  54, WPA2, CCMP,PSK, -90,        2,        0,   0.  0.  0.  0,   5, F4nus, 
C4:9F:4C:79:E9:12, 2018-10-31 17:26:11, 2018-10-31 17:26:23, 11,  54, WPA2, CCMP,PSK, -88,        6,        0,   0.  0.  0.  0,  17, Risky nova 2 lite, 
3C:B6:B7:3C:96:41, 2018-10-31 17:26:04, 2018-10-31 17:26:08, 11,  54, WPA2, CCMP,PSK, -83,        0,        0,   0.  0.  0.  0,   9, vivo 1610, 
90:C7:D8:C3:AC:2D, 2018-10-31 17:25:44, 2018-10-31 17:25:56,  9,  54, WPA2, CCMP TKIP,PSK, -87,        4,        0,   0.  0.  0.  0,  16, AndromaxM3Z-AC2D, 
78:44:76:AD:34:94, 2018-10-31 17:25:56, 2018-10-31 17:25:56, 11,  54, WPA2, CCMP,PSK, -93,        1,        0,   0.  0.  0.  0,  29, Biksen Teknologi CCTV Ciputat, 
38:E6:0A:74:05:DB, 2018-10-31 17:22:36, 2018-10-31 17:25:46,  6,  54, WPA2, CCMP,PSK, -88,      148,        0,   0.  0.  0.  0,  11, GuMzZ@GhOzY, 
FC:DD:55:63:1E:14, 2018-10-31 17:25:06, 2018-10-31 17:25:17,  7,  54, WPA2, CCMP TKIP,PSK, -85,        8,        0,   0.  0.  0.  0,  16, Andromax-M5-1E14, 
EE:51:BC:63:0E:53, 2018-10-31 17:24:27, 2018-10-31 17:24:42, 11,  54, WPA, CCMP TKIP,PSK, -86,        9,        0,   0.  0.  0.  0,  28, cie nyari gratisann kwkwkwkk, 
0C:98:38:9E:44:91, 2018-10-31 17:22:54, 2018-10-31 17:24:43,  1,  54, WPA2, CCMP,PSK, -90,       12,        0,   0.  0.  0.  0,  17, Yanti Al Hafizhah, 
E4:7D:EB:07:62:5D, 2018-10-31 17:23:28, 2018-10-31 17:23:39,  7,  54, WPA2 WPA, CCMP TKIP,PSK, -84,       10,        0,   0.  0.  0.  0,   8, QISMA_FZ, 
C2:87:EB:24:E7:F1, 2018-10-31 17:23:13, 2018-10-31 17:23:24,  6,  54, WPA2, CCMP,PSK, -83,       13,        0,   0.  0.  0.  0,  10, Androidtin, 
B0:89:00:B0:A6:56, 2018-10-31 17:22:52, 2018-10-31 17:23:04,  9,  54, WPA2, CCMP,PSK, -76,        4,        0,   0.  0.  0.  0,   8, Everlast, 
FC:DD:55:26:0B:EB, 2018-10-31 17:22:51, 2018-10-31 17:23:01, 11,  54, WPA2, CCMP TKIP,PSK, -82,       11,        0,   0.  0.  0.  0,  14, Gratisan woyyy, 
C0:87:EB:53:6F:9F, 2018-10-31 17:22:37, 2018-10-31 17:22:39,  1,  54, WPA2, CCMP,PSK, -82,        2,        0,   0.  0.  0.  0,   4, \x00\x00\x00\x00, 
FC:DD:55:68:25:4B, 2018-10-31 17:22:26, 2018-10-31 17:22:38,  9,  54, WPA2, CCMP TKIP,PSK, -82,        6,        0,   0.  0.  0.  0,  14, #BOLT!LTE+254B, 
C2:87:EB:E2:89:C1, 2018-10-31 17:22:09, 2018-10-31 17:22:36,  6,  54, WPA2, CCMP,PSK, -89,       14,        0,   0.  0.  0.  0,   5, Mamet, 
42:83:DE:C2:66:07, 2018-10-31 17:22:13, 2018-10-31 17:22:13, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
1C:77:F6:5B:C6:D4, 2018-10-31 17:21:59, 2018-10-31 17:21:59,  2,  -1, , ,   , -77,        0,        0,   0.  0.  0.  0,   0, , 
00:27:15:68:64:94, 2018-10-31 17:21:43, 2018-10-31 17:21:46, 11,  54, WPA2, CCMP,PSK, -85,        3,        0,   0.  0.  0.  0,   3, i4D, 
82:95:78:8A:20:49, 2018-10-31 17:21:22, 2018-10-31 17:21:22, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:DD:55:71:AC:EC, 2018-10-31 17:20:56, 2018-10-31 17:21:21,  7,  54, WPA2, CCMP TKIP,PSK, -75,       29,        0,   0.  0.  0.  0,  17, Smartfren-M6-ACEC, 
56:27:58:77:1E:6F, 2018-10-31 17:20:21, 2018-10-31 17:20:43, 11,  54, WPA2, CCMP,PSK, -76,        0,        0,   0.  0.  0.  0,   3, aji, 
AA:1B:5A:CB:9E:C3, 2018-10-31 17:19:43, 2018-10-31 17:20:17, 11,  54, WPA2, CCMP,PSK, -88,        3,        0,   0.  0.  0.  0,   9, Noloianub, 
90:21:81:9A:62:F2, 2018-10-31 17:19:03, 2018-10-31 17:19:18,  6,  54, WPA2, CCMP,PSK, -86,        5,        0,   0.  0.  0.  0,  16, Acer Liquid Z330, 
20:5E:F7:E0:CB:D8, 2018-10-31 17:18:33, 2018-10-31 17:19:06,  6,  54, WPA2, CCMP,PSK, -83,       13,        0,   0.  0.  0.  0,  15, "Yuliana cantik ", 
64:CC:2E:49:42:33, 2018-10-31 17:18:59, 2018-10-31 17:19:06,  6,  54, WPA2, CCMP,PSK, -85,        4,        0,   0.  0.  0.  0,  21, AAAAAPlm1zoAAwF0Redmi, 
20:5E:F7:5D:9C:28, 2018-10-31 17:16:08, 2018-10-31 17:16:36,  1,  54, WPA2, CCMP,PSK, -84,        4,        0,   0.  0.  0.  0,  13, AndroidAP9C28, 
FC:DD:55:62:3D:56, 2018-10-31 17:15:54, 2018-10-31 17:16:13,  3,  54, WPA2, CCMP TKIP,PSK, -87,        3,        0,   0.  0.  0.  0,   6, Runner, 
8C:18:D9:DC:1A:7E, 2018-10-31 17:15:52, 2018-10-31 17:16:11,  6,  54, OPN, ,   , -91,        8,        0,   0.  0.  0.  0,  14, Toyota RSE 686, 
BC:8A:E8:2C:04:F4, 2018-10-31 17:15:30, 2018-10-31 17:15:45, 11,  54, WPA2, CCMP,PSK, -88,       12,        0,   0.  0.  0.  0,  15, Andromax F17A1H, 
22:5E:F7:96:2D:66, 2018-10-31 17:15:07, 2018-10-31 17:15:11, 11,  54, WPA2, CCMP,PSK, -83,        3,        0,   0.  0.  0.  0,   9, gassTruss, 
FC:DD:55:62:63:06, 2018-10-31 17:14:50, 2018-10-31 17:14:55,  9,  54, WPA2, CCMP TKIP,PSK, -80,        3,        0,   0.  0.  0.  0,  10, Superduper, 
FC:DD:55:51:BB:7A, 2018-10-31 17:13:15, 2018-10-31 17:13:34, 11,  54, WPA2, CCMP TKIP,PSK, -80,        7,        0,   0.  0.  0.  0,  17, Andromax-M3Y-BB7A, 
AA:6B:6E:48:56:88, 2018-10-31 17:13:19, 2018-10-31 17:13:31,  6,  54, WPA2, CCMP,PSK, -86,       10,        0,   0.  0.  0.  0,  10, iPhonecha7, 
90:C7:D8:BA:B9:CC, 2018-10-31 17:12:33, 2018-10-31 17:12:56,  3,  54, WPA2, CCMP TKIP,PSK, -75,        5,        0,   0.  0.  0.  0,  17, Andromax-M3Z-B9CC, 
90:C7:D8:BA:55:61, 2018-10-31 17:12:29, 2018-10-31 17:12:46,  3,  54, WPA2, CCMP TKIP,PSK, -80,        2,        0,   0.  0.  0.  0,  17, Andromax-M3Z-5561, 
C0:21:0D:9B:D0:2C, 2018-10-31 17:12:01, 2018-10-31 17:12:42,  6,  54, OPN, ,   , -93,        9,        0,   0.  0.  0.  0,  14, Toyota RSE 044, 
00:00:00:00:00:00, 2018-10-31 17:01:53, 2018-10-31 17:12:21,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
57:15:FC:DD:55:63, 2018-10-31 17:12:21, 2018-10-31 17:12:21,  8,  -1, WEP, WEP40,   , -65,        0,        1,   0.  0.  0.  0,   0, , 
0C:98:38:37:95:11, 2018-10-31 17:11:12, 2018-10-31 17:11:46, 11,  54, OPN, ,   , -79,        7,        0,   0.  0.  0.  0,  25, BoqB-c2V0aWF3YW5nb2NhcjQ2, 
FC:DD:55:50:22:84, 2018-10-31 17:11:21, 2018-10-31 17:11:31, 11,  54, WPA2, CCMP TKIP,PSK, -88,        3,        0,   0.  0.  0.  0,  10, softbank72, 
5C:F2:86:2F:CC:31, 2018-10-31 17:10:06, 2018-10-31 17:11:31,  7,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       40,        0,   0.  0.  0.  0,  10, BOLT!-CC31, 
66:CC:2E:25:DC:D2, 2018-10-31 17:10:58, 2018-10-31 17:11:16,  6,  54, WPA2, CCMP,PSK, -87,       12,        0,   0.  0.  0.  0,  22, KGnVX3P5wAoAAwH/chimid, 
FC:DD:55:63:59:DD, 2018-10-31 17:10:24, 2018-10-31 17:10:42, 11,  54, WPA2, CCMP TKIP,PSK, -83,        7,        0,   0.  0.  0.  0,  16, Andromax-M5-59DD, 
0E:9D:92:26:76:B8, 2018-10-31 17:09:58, 2018-10-31 17:10:32,  6,  54, WPA2, CCMP,PSK, -87,       46,        0,   0.  0.  0.  0,   8, hot spot, 
00:EC:0A:FB:DB:C7, 2018-10-31 16:59:09, 2018-10-31 17:10:28, 11,  54, WPA2, CCMP,PSK, -92,        0,        0,   0.  0.  0.  0,  24, AAAAAGyIX5wADwH/Redmi 4A, 
0C:98:38:19:DD:91, 2018-10-31 17:09:21, 2018-10-31 17:09:39,  6,  54, WPA2, CCMP,PSK, -91,       17,       20,   0.  0.  0.  0,   5, Redmi, 
FF:FF:CC:2D:83:86, 2018-10-31 17:09:19, 2018-10-31 17:09:19, -1,  -1, , ,   , -94,        0,        0,   0.  0.  0.  0,   0, , 
64:70:02:B6:1A:A4, 2018-10-31 17:09:03, 2018-10-31 17:09:03,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
74:23:44:E2:FD:45, 2018-10-31 17:08:13, 2018-10-31 17:08:29,  6,  54, WPA2, CCMP,PSK, -87,       14,        0,   0.  0.  0.  0,  18, aliyah cantikRedmi, 
A8:1B:5A:B2:00:CB, 2018-10-31 17:07:55, 2018-10-31 17:08:03,  6,  54, WPA, CCMP TKIP,PSK, -85,        6,        0,   0.  0.  0.  0,   1, ., 
E4:7D:EB:0A:FA:EC, 2018-10-31 17:07:59, 2018-10-31 17:08:03,  7,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        3,        0,   0.  0.  0.  0,  14, #BOLT!LTE+FAEC, 
90:C7:D8:BB:9E:D2, 2018-10-31 17:07:29, 2018-10-31 17:07:53,  7,  54, WPA2, CCMP TKIP,PSK, -84,        2,        0,   0.  0.  0.  0,   9, ADE_W3DRA, 
E4:7D:EB:05:57:F0, 2018-10-31 17:06:49, 2018-10-31 17:07:49,  8,  54, WPA2 WPA, CCMP TKIP,PSK, -88,       11,        1,   0.  0.  0.  0,  17, BOLT!Grab Premium, 
9C:F6:05:10:90:29, 2018-10-31 17:07:40, 2018-10-31 17:07:40, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A0:0A:BF:24:16:FB, 2018-10-31 17:06:07, 2018-10-31 17:07:40,  6,  54, OPN, ,   , -87,       18,        0,   0.  0.  0.  0,  14, Toyota RSE 6FB, 
FC:DD:55:49:79:8B, 2018-10-31 17:07:02, 2018-10-31 17:07:17, 11,  54, WPA2, CCMP TKIP,PSK, -85,        7,        0,   0.  0.  0.  0,  11, maylaffayza, 
58:1F:C4:0B:CB:17, 2018-10-31 17:06:38, 2018-10-31 17:06:38, -1,  -1, , ,   , -83,        0,        0,   0.  0.  0.  0,   0, , 
70:B7:AA:A7:C3:97, 2018-10-31 17:06:22, 2018-10-31 17:06:27,  1,  54, WPA2, CCMP,PSK, -81,        6,        0,   0.  0.  0.  0,  24, vivo@alfinhidayattull@52, 
70:78:8B:C9:95:1D, 2018-10-31 17:05:55, 2018-10-31 17:06:26,  6,  54, WPA2, CCMP,PSK, -86,       12,        0,   0.  0.  0.  0,   8, ollaolle, 
30:75:78:8A:20:8D, 2018-10-31 17:06:16, 2018-10-31 17:06:16,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
4E:49:E3:3A:C9:A9, 2018-10-31 17:05:49, 2018-10-31 17:06:03,  8,  54, WPA2, CCMP,PSK, -82,       26,        0,   0.  0.  0.  0,   4, atha, 
54:14:73:EB:56:92, 2018-10-31 17:05:35, 2018-10-31 17:05:40,  9,  54, WPA2, CCMP,PSK, -76,        5,        0,   0.  0.  0.  0,  16, acer Liquid Z220, 
FC:DD:55:62:AC:A2, 2018-10-31 17:05:21, 2018-10-31 17:05:40, 11,  54, WPA2, CCMP TKIP,PSK, -91,        1,        0,   0.  0.  0.  0,  10, hellokitty, 
4C:1A:3D:80:F5:5C, 2018-10-31 17:04:18, 2018-10-31 17:04:23,  6,  54, WPA, CCMP TKIP,PSK, -76,        8,        0,   0.  0.  0.  0,   5, gokil, 
8C:18:D9:80:0C:65, 2018-10-31 17:04:11, 2018-10-31 17:04:22,  6,  54, OPN, ,   , -90,       15,        0,   0.  0.  0.  0,  14, Toyota RSE 173, 
C0:87:EB:C2:26:49, 2018-10-31 17:02:40, 2018-10-31 17:04:03,  6,  54, WPA2, CCMP,PSK, -87,       10,        0,   0.  0.  0.  0,   9, AndroidAP, 
B0:89:00:AF:F5:26, 2018-10-31 17:03:56, 2018-10-31 17:04:03, 11,  54, WPA2, CCMP,PSK, -88,        6,        0,   0.  0.  0.  0,  11, HUAWEI-F526, 
FC:DD:55:65:05:71, 2018-10-31 17:03:32, 2018-10-31 17:03:58,  9,  54, WPA2, CCMP TKIP,PSK, -90,       25,        0,   0.  0.  0.  0,  14, #BOLT!LTE+0571, 
00:1E:C8:A2:5B:87, 2018-10-31 17:03:40, 2018-10-31 17:03:51,  9,  -1, , ,   , -88,        0,        0,   0.  0.  0.  0,   0, , 
